State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Months,Temperature,Rainfall,Humidity,Sun hours
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Banana,3.610917913,7.172424577,3.615412302,April,4.50555213,-9.671778102,2.210912514,3
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Cucumber,3.951243719,0,0,March,5.709640969,-8.579211082,2.145911918,3.1144823
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Grapes,4.779123493,7.625107148,2.909952803,December,5.070502934,11.53165578,2.287801146,2.983286778
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Mango,8.277920258,10.97400896,2.761601005,June,5.070502934,11.53165578,2.287801146,2.983286778
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Tomato,7.947325027,9.770527425,1.973176636,October,5.205766034,7.373304865,2.298119665,2.880972058
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Dry chillies,8.132412675,9.331584079,1.462803496,January,5.205766034,7.373304865,2.298119665,2.880972058
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Sunflower,10.94764366,10.44027328,0.471296375,September,4.615192304,-9.801858368,2.190228376,3.016620626
Andhra Pradesh,ANANTAPUR,2004,Rabi       ,Dry chillies,5.049856007,6.626717749,1.768919977,December,5.727128425,-8.620205245,2.161153519,3.130495168
Andhra Pradesh,ANANTAPUR,2004,Rabi       ,Sunflower,10.21203786,9.162304923,0.300110033,August,5.338539126,7.226961625,2.306403,2.898275349
Andhra Pradesh,ANANTAPUR,2004,Whole Year ,Banana,5.783825182,9.734950551,3.973141333,September,5.338539126,7.226961625,2.306403,2.898275349
Andhra Pradesh,ANANTAPUR,2004,Whole Year ,Potato,1.098612289,3.044522438,2.397895273,November,5.338539126,7.226961625,2.306403,2.898275349
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Dry chillies,7.686621335,8.728426092,1.344213731,March,4.701063709,-10.15352689,2.197224577,3.016620626
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Dry chillies,4.077537444,5.370638028,1.545359056,January,5.138093031,11.90858147,2.291910126,3.033150178
Andhra Pradesh,ANANTAPUR,2005,Whole Year ,Banana,5.717027701,9.694739882,3.99944134,January,5.300943312,7.53399394,2.302585093,2.887905816
Andhra Pradesh,ANANTAPUR,2005,Whole Year ,Sunflower,10.79298246,9.036225052,0.159212114,February,4.460941605,-9.780113124,2.217610125,3.033150178
Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Dry chillies,7.470224136,8.641002477,1.441201414,June,4.460941605,-9.780113124,2.217610125,3.033150178
Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Dry chillies,2.397895273,3.63758616,1.547562509,March,4.415880433,-12.73139433,2.17591578,3.033150178
Andhra Pradesh,ANANTAPUR,2006,Whole Year ,Banana,5.669880923,9.556904372,3.910637964,July,4.626013402,-9.393027425,2.190228376,3
Andhra Pradesh,ANANTAPUR,2006,Whole Year ,Sunflower,11.01455528,10.06739052,0.327740661,February,4.626013402,-9.393027425,2.190228376,3
Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Dry chillies,7.601402335,9.105090961,1.704748092,November,5.804308744,-8.012723106,2.161153519,3.130495168
Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Sunflower,9.852246888,9.210440367,0.422856851,August,5.194227565,12.78280302,2.302585093,3.065941943
Andhra Pradesh,ANANTAPUR,2007,Rabi       ,Sunflower,10.16589028,9.903537551,0.570544858,April,5.10881591,7.781744687,2.298680151,2.846049894
Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Dry chillies,7.362010551,8.613775289,1.503653758,May,5.10881591,7.781744687,2.298680151,2.846049894
